signal,entite,statut_actuel,occurrences,verdicts_croises,recommandation,justification,exemples
Societe,Societe,propose,1379,35 jugees: hors sujet=28 | collaboration remuneree=6 | je ne sais pas=1 (meme entite: hors sujet=23),rejeter,"1379 occurrences, quasi toutes 'jeu de societe' ; 23 videos jugees hors sujet meme entite, 0 collaboration. Mot commun irrecuperable.",jZjvMvXLFRI | gWTedhwcc9M | LGULuWU6NXg
Marie,Marie,propose,868,7 jugees: hors sujet=7 (meme entite: hors sujet=5),rejeter,868 occurrences de prenoms (credits d'equipe 'Marie Flament'...) ; 7/7 jugees hors sujet. C'est le faux positif SQUEEZIE deja documente.,49Dy0nvs7Lw | lQ53145a3cY | JW-gg1X17zQ
President,President,propose,702,8 jugees: hors sujet=7 | je ne sais pas=1 (meme entite: hors sujet=2),rejeter,"702 occurrences politiques ('president-elect', 'president du Venezuela') ; 0 collaboration sur 8 jugees.",EYzN7Pq0r0g | twvoa515oTQ | Z6V73lW2tsI
Maitre Coq,Maitre Coq,propose,171,3 jugees: je ne sais pas=3,rejeter,"Occurrences dominees par la chaine de la marque (recettes maison) et le voilier Maitre CoQ ; 3 jugees 'je ne sais pas'. A traiter en compte vitrine, pas en mot.",HourEaBzpYk | 4qdInZPaWCY | cFyMK_-xrxQ
Foie Gras,CIFOG,propose,130,86 jugees: hors sujet=81 | je ne sais pas=3 | mention sans collaboration=2 (meme entite: hors sujet=81 | je ne sais pas=3 | mention sans collaboration=2),rejeter,"Terme de cuisine generique : 0 collaboration sur 86 videos jugees (81 hors sujet, 2 mention sans collaboration).",QAQ5KPNcDZA | pUEH27pVjNs | JV-zPbMFDUo
Tartare,Tartare,propose,128,4 jugees: hors sujet=4,rejeter,"Plat generique (tartare de boeuf, de thon...) ; 4/4 jugees hors sujet.",1gP4V6VVcl4 | 8ybdKtmtp4A | 6ed4UqbQH9Q
Veloute,Veloute,propose,85,3 jugees: hors sujet=2 | collaboration remuneree=1,rejeter,"Plat generique (veloute de champignons...) ; le seul cas commercial trouve est un partenariat Danone (Juste Zoe), que 'Veloute' seul ne prouve pas.",czykjPMc2B0 | GiPLFXv-48g | CILyZZQUXRM
Boursin,Boursin,propose,82,aucune video jugee,rejeter,Nom de plat/ingredient dans des critiques de snacks ; aucun indice de partenariat dans 82 occurrences examinees par sondage.,eVhYJWfPzp0 | NLZQBCQi6bA | -oBMSyr9XqU
Fleury Michon,Fleury Michon,propose,61,aucune video jugee,rejeter,"61 occurrences quasi toutes sur la chaine de la marque elle-meme : compte vitrine, pas signal texte.",oYcNLJGzXEs | KydbY0eKVmg | zohRhEmQyaE
Les Produits Laitiers,CNIEL,propose,61,62 jugees: hors sujet=45 | collaboration remuneree=16 | je ne sais pas=1 (meme entite: hors sujet=44 | collaboration remuneree=15 | je ne sais pas=1),confirmer (fort),"15 'collaboration remuneree' jugees meme entite (Inoxtag/KAIZEN 'Merci a mes partenaires ... Les Produits Laitiers', Check 'en partenariat avec') ; les 44 hors sujet sont le bruit attendu, a filtrer par les indices commerciaux.",gP5Ww9PpmKU | 92J7_p8nvDw | WBa8Ci2k77E
Activia,Activia,propose,38,aucune video jugee,rejeter,"38 occurrences sur la chaine Activia France : compte vitrine, pas signal texte.",_YaIoaERWYY | LcQp7jTIYY8 | vMPpn_-k4Kc
Gervais,Gervais,propose,24,aucune video jugee,rejeter,"Homonymes (Chloe Gervais, Le Pre-Saint-Gervais) ; rien sur la marque.",NenbSONCEh4 | zwOHrbKWZbs | KysOo74Kmj8
Elle & Vire,Elle & Vire,propose,22,aucune video jugee,confirmer (faible),Recette CuisineAZ 'beurre doux Elle & Vire de Conde-sur-Vire' (langage marketing = placement plausible) ; le reste est du B2B etranger.,XuXLvvos8Ho | 5B_95cpZ6g8 | H5AcBRn10zo
Nos amis pour la vie,CNIEL,propose,21,20 jugees: collaboration remuneree=10 | hors sujet=10 (meme entite: collaboration remuneree=10 | hors sujet=9),confirmer (fort),"10 'collaboration remuneree' jugees meme entite sur 20 ; extraits explicites 'Toujours en partenariat avec nos amis pour la vie: Les Produits Laitiers' (Check, Juste Zoe).",x6N7UloAJ6I | WBa8Ci2k77E | NMDUL6oIP-A
Label Rouge,INTERBEV,propose,20,1 jugees: hors sujet=1,rejeter,"Label generique cite dans menus et reportages, toutes filieres confondues ; 1 jugee hors sujet. Ligne en double au dictionnaire.",v2k_BjTP7WU | egZ7u4bC9mc | wIUdQA2p1vc
Label Rouge,INTERBEV,propose,20,1 jugees: hors sujet=1,rejeter,"Label generique cite dans menus et reportages, toutes filieres confondues ; 1 jugee hors sujet. Ligne en double au dictionnaire.",v2k_BjTP7WU | egZ7u4bC9mc | wIUdQA2p1vc
Danette,Danette,propose,18,aucune video jugee,confirmer (faible),"Mcfly et Carlito 'On verifie le slogan de @danette' : interaction directe avec la marque, mais format editorial multi-marques possible ; a faire juger.",_spf3V42sik | PvTcPZDdpPk | TRBeOgkh4wo
CHAUD !,CNIEL,propose,17,11 jugees: hors sujet=9 | je ne sais pas=2 (meme entite: hors sujet=9 | je ne sais pas=2),rejeter,"Matche l'expression courante 'chaud !' ; les episodes de la serie sont sur la chaine vitrine CNIEL, deja routee ; 0 collaboration sur 11 jugees.",uwyDo-NNCD8 | p9C3qqWogno | 0yjPelwpyBY
Loue,Loue,propose,16,1 jugees: hors sujet=1,rejeter,Homonymes du participe 'loue' et de la ville de Loue ; 1 jugee hors sujet.,kWsbyaRn2w0 | RMuCLxu83Bo | CR07rsC3UOk
Babybel,Babybel,propose,14,aucune video jugee,confirmer (faible),"Contenus gaming Doigby centres sur la marque (map Fortnite 'Babybel Reloaded', Farming Simulator 'AVEC BABYBEL') : collaboration tres plausible ; aucun verdict.",RPtRXiOgR68 | s86RvXtXCKU | 6uJlZP5oWrQ
Interview Métiers,INTERBEV,propose,11,11 jugees: hors sujet=11 (meme entite: hors sujet=11),rejeter,"11/11 jugees hors sujet ; uniquement sur la chaine vitrine 'Aimez la viande', deja routee.",0mE06nmWsNU | lYVceejJyxU | pBkpVTxfkho
Saint Moret,Saint Moret,propose,9,aucune video jugee,rejeter,Mention generique 'fromage type Saint Moret' en liste d'ingredients.,YOf0J1_q51A | pRsT2wfqMVs | RDVIInmmqw4
Histoire Métiers,INTERBEV,propose,8,8 jugees: hors sujet=8 (meme entite: hors sujet=8),rejeter,8/8 jugees hors sujet ; chaine vitrine uniquement.,gT0Da7LF-a4 | n9lKxQuXpUY | pBDS4a11e2Q
Danonino,Danonino,propose,7,aucune video jugee,rejeter,Occurrences en espagnol (Bonafont Mexique) : hors perimetre France.,_79U55meTUY | OUbVEyy9PIg | 5hmsWaStiL8
La Vache qui rit,La Vache qui rit,propose,7,aucune video jugee,confirmer (faible),Video Nota Bene consacree a l'anniversaire de la marque : collaboration plausible mais non declaree dans l'extrait (SUPPOSE) ; le reste est du generique.,KFbALtUu3eg | kg2TslLH7xo | O6twnpDSh2E
Caprice des Dieux,Caprice des Dieux,propose,6,aucune video jugee,rejeter,"Recettes utilisant le fromage, sans indice de partenariat.",xGIpyt9Kb9A | 50iV23CQX3s | seE90bn8O0Y
DANS NOS ASSIETTES,CNIEL,propose,6,2 jugees: hors sujet=2 (meme entite: hors sujet=2),rejeter,Chaine vitrine CNIEL + expression courante ('le sucre dans nos assiettes') ; 2/2 jugees hors sujet.,RmM5kz-VVls | pRbQ4khqWSk | jRz2RTspzrc
